Year,Ruta,Idestado,Idmunicipio,Idciclo,Idmodalidad,Idcultivo,Sembrada,Volumenproduccion,Precio,Valorproduccion
2018,3,16,11,2,1,7490000,3265,29006.5,3990.92,115762609.8
2018,3,16,108,2,1,7490000,780,3876.6,4150,16087890
2018,3,16,84,2,1,7490000,105,487.6,4165,2030854
2018,3,16,43,2,1,7490000,310,1389,4160,5778240
2018,3,16,42,2,1,7490000,580,2894.2,4155,12025401
2018,3,16,23,2,1,7490000,500,2200,4200,9240000
2018,3,16,6,2,1,7490000,153,680.85,3880,2641698
2018,3,15,112,2,1,7490000,2967,10953.95,3712.11,40662215.94
2018,3,15,102,2,1,7490000,162,747.19,3575,2671204.25
2018,3,15,26,2,1,7490000,1584,5961.36,3472.37,20700074.62
2018,3,15,110,2,1,7490000,326,1304,3500,4564000
2018,3,15,93,2,1,7490000,43,165.98,3798,630392.04
2018,3,15,69,2,1,7490000,25,110,3810,419100
2018,3,15,33,2,1,7490000,3.75,16.12,3794,61159.28
2018,3,15,30,2,1,7490000,96,355.74,3775.8,1343203.18
2018,3,15,28,2,1,7490000,370,1440.52,3794.13,5465519.16
2018,3,15,20,2,1,7490000,10,37.5,3805,142687.5
2018,3,15,11,2,1,7490000,961,3824.78,3851,14729227.78
2018,3,15,125,2,1,7490000,75,436.5,4033.72,1760716.82
2018,3,15,120,2,1,7490000,1087,6582,3952.8,26017348.44
2018,3,15,96,2,1,7490000,308,1925.6,4053.31,7805045.22
2018,3,15,81,2,1,7490000,200,1110,4036.95,4481018.55
2018,3,15,59,2,1,7490000,145,947,4016.49,3803619.15
2018,3,15,44,2,1,7490000,20.5,91.3,3947.58,360414.05
2018,3,15,10,2,1,7490000,140.5,786.99,4126.21,3247289.44
2018,3,15,51,2,1,7490000,405,1761.75,3737.28,6584153.04
2018,3,12,69,2,1,7490000,16,38,4435,168530
2018,3,12,66,2,1,7490000,199.45,655,4425,2898375
2018,3,12,20,2,1,7490000,28.15,81.01,4320,349963.2
2018,3,12,50,2,1,7490000,209.44,791.68,3512.43,2780720.58
2018,3,12,22,2,1,7490000,716.49,2822.97,3519.4,9935160.62
2018,3,12,57,2,1,7490000,219,600.06,4307.99,2585052.48
2018,3,7,111,2,1,7490000,47.38,151.14,4330,654436.2
2018,3,7,94,2,1,7490000,528.81,1707.97,4512.49,7707194.35
2018,3,7,78,2,1,7490000,27.66,81.93,4360,357214.8
2018,3,7,75,2,1,7490000,79.15,263.25,4300,1131975
2018,3,7,7,2,1,7490000,602.67,1949.57,4391.64,8561812.1
2018,5,28,2,2,2,7490000,659.5,1478.71,3300,4879743
2018,5,28,2,2,1,7490000,58.5,336.39,3300,1110087
2018,5,28,28,2,2,7490000,39.4,22.85,3570,81574.5
2018,5,28,17,2,2,7490000,750,262,3250,851500
2018,5,28,17,2,1,7490000,560,476,3308,1574608
2018,5,28,42,2,1,7490000,350,905.1,2900,2624790
2018,5,28,20,2,1,7490000,250,800,2950,2360000
2018,5,28,16,2,1,7490000,1150,2554,2900,7406600
2018,5,28,1,2,2,7490000,1423,1138.4,4010,4564984
2018,5,28,35,2,2,7490000,80,80,3800,304000
2018,4,26,55,2,1,7490000,137.7,1101.6,3950,4351320
2018,4,26,18,2,1,7490000,395,4100,3654.17,14982097
2018,4,26,52,2,2,7490000,54.5,62.67,4500,282015
2018,4,26,52,2,1,7490000,32,62.7,4222.68,264762.04
2018,4,26,5,2,2,7490000,14.5,14.5,4600,66700
2018,4,26,5,2,1,7490000,5,10,4600,46000
2018,4,26,63,2,1,7490000,8,28,3150,88200
2018,4,26,23,2,1,7490000,5,20.5,3198.78,65574.99
2018,4,26,66,2,2,7490000,18,41.4,4840,200376
2018,4,26,66,2,1,7490000,100,431,4900,2111900
2018,4,26,50,2,2,7490000,10,22,4750,104500
2018,4,26,50,2,1,7490000,17,71.74,4800,344352
2018,4,26,45,2,2,7490000,12,25.8,4800,123840
2018,4,26,45,2,1,7490000,15,63,4823.49,303879.87
2018,4,26,27,2,1,7490000,300,1320,3266.67,4312004.4
2018,4,26,2,2,1,7490000,97,417.1,3234.27,1349014.02
2018,4,26,35,2,2,7490000,3,4.56,2794.55,12743.15
2018,4,25,6,2,2,7490000,65,71.5,3600,257400
2018,4,25,6,2,1,7490000,670,5360,4100,21976000
2018,4,25,6,2,2,7490000,2960,3612,3960,14303520
2018,4,25,6,2,1,7490000,95,693.5,3960,2746260
2018,4,25,17,2,2,7490000,240,816,2850,2325600
2018,4,25,17,2,1,7490000,850,9350,3600,33660000
2018,4,25,7,2,2,7490000,800,2000,2900,5800000
2018,5,24,40,2,2,7490000,35,47.25,4650,219712.5
2018,5,24,42,2,2,7490000,583,536.36,5044.68,2705764.56
2018,5,24,41,2,2,7490000,1043,954.35,5022.79,4793499.64
2018,5,24,39,2,2,7490000,961,884.12,5051.16,4465831.58
2018,5,24,26,2,2,7490000,896,833.28,5041.68,4201131.11
2018,5,24,14,2,2,7490000,706,635.4,5024.88,3192808.75
2018,5,24,12,2,2,7490000,703,660.82,5027,3321942.14
2018,5,24,3,2,2,7490000,2792,2540.72,5016.35,12745140.77
2018,5,24,27,2,1,7490000,79,367.35,2300,844905
2018,5,24,24,2,1,7490000,225,1102.5,2500,2756250
2018,5,24,11,2,1,7490000,149,677.95,3951,2678580.45
2018,5,24,31,2,1,7490000,110,297,4500,1336500
2018,5,24,24,2,1,7490000,1551,4575.45,4500,20589525
2018,5,24,23,2,1,7490000,48,132,4500,594000
2018,5,24,19,2,1,7490000,30,84,4500,378000
2018,5,24,5,2,1,7490000,304,881.6,4500,3967200
2018,5,24,2,2,1,7490000,61,146.4,4500,658800
2018,5,24,44,2,1,7490000,441,1543.5,4454.57,6875628.8
2018,5,24,7,2,1,7490000,126,427.14,4684.31,2000856.17
2018,5,24,6,2,1,7490000,103,349.17,4726.15,1650229.8
2018,5,24,49,2,1,7490000,1320.5,5110.33,3817.52,19508786.98
2018,5,24,25,2,1,7490000,240,938.4,3553.45,3334557.48
2018,5,24,35,2,1,7490000,98,425,4050.34,1721394.5
2018,5,24,28,2,1,7490000,490,2205,4239.39,9347854.95
2018,5,24,9,2,1,7490000,12,45.6,3746.75,170851.8
2018,5,24,4,2,1,7490000,78,296.4,3722.31,1103292.68
2018,5,19,17,2,2,7490000,6410,3525,3899.83,13746900.75
2018,5,19,38,2,2,7490000,25,25,3200,80000
2018,5,19,5,2,2,7490000,96.9,164.73,3600,593028
2018,5,19,5,2,1,7490000,96.9,339.15,3800,1288770
2018,4,18,17,2,2,7490000,2012,6659.72,4115.26,27406479.33
2018,4,18,12,2,2,7490000,404,1256.44,4054.53,5094273.67
